sample_id,frame,simulation_time,lap_id,ego_speed_kmh,ego_x,ego_y,ego_z,ego_roll,ego_pitch,ego_yaw,lidar_points,semantic_points,adaptive_25d_cells,terrain_cells,static_obstacle_cells,vehicle_cells,pedestrian_cells,road_cells,sidewalk_cells,min_resolution_m,max_resolution_m,front_vehicle,front_distance_m,front_speed_kmh,collision_count,scenario,depression_id,depression_center_m,depression_start_m,depression_end_m,distance_to_depression_m,inside_depression,weather,raw_lidar_file,semantic_lidar_file,adaptive_25d_file
1,197912,8.679,0,0.0,20.0,-1.8,0.002,-0.0,0.0,0.0,3627,6644,2626,0,0,0,0,0,0,0.05000000074505806,0.5,NONE,-1.0,-1.0,0,STANDARD_ROAD,1,1200.0,1192.0,1208.0,-1180.0,0,Daylight_No_Rain,raw_lidar\lidar_000001.npy,semantic_lidar\semantic_000001.npy,adaptive_2_5d\grid_000001.npz
2,197915,8.829,0,0.0,20.0,-1.8,0.002,-0.0,0.0,0.0,10655,19524,7648,0,0,0,0,0,0,0.05000000074505806,0.5,NONE,-1.0,-1.0,0,STANDARD_ROAD,1,1200.0,1192.0,1208.0,-1180.0,0,Daylight_No_Rain,raw_lidar\lidar_000002.npy,semantic_lidar\semantic_000002.npy,adaptive_2_5d\grid_000002.npz
3,197917,8.929,0,0.0,20.0,-1.8,0.002,-0.0,0.0,0.0,3714,6629,2631,0,0,0,0,0,0,0.05000000074505806,0.5,NONE,-1.0,-1.0,0,STANDARD_ROAD,1,1200.0,1192.0,1208.0,-1180.0,0,Daylight_No_Rain,raw_lidar\lidar_000003.npy,semantic_lidar\semantic_000003.npy,adaptive_2_5d\grid_000003.npz
4,197919,9.029,0,0.0,20.0,-1.8,0.002,-0.0,0.0,0.0,10674,19519,7651,0,0,0,0,0,0,0.05000000074505806,0.5,NONE,-1.0,-1.0,0,STANDARD_ROAD,1,1200.0,1192.0,1208.0,-1180.0,0,Daylight_No_Rain,raw_lidar\lidar_000004.npy,semantic_lidar\semantic_000004.npy,adaptive_2_5d\grid_000004.npz
5,197921,9.129,0,0.0,20.0,-1.8,0.002,-0.0,0.0,0.0,3667,6628,2602,0,0,0,0,0,0,0.05000000074505806,0.5,NONE,-1.0,-1.0,0,STANDARD_ROAD,1,1200.0,1192.0,1208.0,-1180.0,0,Daylight_No_Rain,raw_lidar\lidar_000005.npy,semantic_lidar\semantic_000005.npy,adaptive_2_5d\grid_000005.npz
6,197923,9.229,0,0.0,20.0,-1.8,0.002,-0.0,0.0,0.0,10832,19519,7684,0,0,0,0,0,0,0.05000000074505806,0.5,NONE,-1.0,-1.0,0,STANDARD_ROAD,1,1200.0,1192.0,1208.0,-1180.0,0,Daylight_No_Rain,raw_lidar\lidar_000006.npy,semantic_lidar\semantic_000006.npy,adaptive_2_5d\grid_000006.npz
7,197925,9.329,0,0.0,20.0,-1.8,0.002,-0.0,0.0,0.0,3694,6627,2603,0,0,0,0,0,0,0.05000000074505806,0.5,NONE,-1.0,-1.0,0,STANDARD_ROAD,1,1200.0,1192.0,1208.0,-1180.0,0,Daylight_No_Rain,raw_lidar\lidar_000007.npy,semantic_lidar\semantic_000007.npy,adaptive_2_5d\grid_000007.npz
8,197927,9.429,0,0.0,20.0,-1.8,0.002,-0.0,0.0,0.0,10690,19519,7588,0,0,0,0,0,0,0.05000000074505806,0.5,NONE,-1.0,-1.0,0,STANDARD_ROAD,1,1200.0,1192.0,1208.0,-1180.0,0,Daylight_No_Rain,raw_lidar\lidar_000008.npy,semantic_lidar\semantic_000008.npy,adaptive_2_5d\grid_000008.npz
9,197929,9.529,0,0.0,20.0,-1.8,0.002,-0.0,0.0,0.0,3700,6627,2617,0,0,0,0,0,0,0.05000000074505806,0.5,NONE,-1.0,-1.0,0,STANDARD_ROAD,1,1200.0,1192.0,1208.0,-1180.0,0,Daylight_No_Rain,raw_lidar\lidar_000009.npy,semantic_lidar\semantic_000009.npy,adaptive_2_5d\grid_000009.npz
10,197931,9.629,0,1.37,20.007,-1.8,0.002,-0.0,0.008,-0.0,10673,19519,7592,0,0,0,0,0,0,0.05000000074505806,0.5,NONE,-1.0,-1.0,0,STANDARD_ROAD,1,1200.0,1192.0,1208.0,-1179.99,0,Daylight_No_Rain,raw_lidar\lidar_000010.npy,semantic_lidar\semantic_000010.npy,adaptive_2_5d\grid_000010.npz
11,197933,9.729,0,4.439,20.054,-1.8,0.001,-0.0,0.044,-0.0,3613,6627,2572,0,0,0,0,0,0,0.05000000074505806,0.5,NONE,-1.0,-1.0,0,STANDARD_ROAD,1,1200.0,1192.0,1208.0,-1179.95,0,Daylight_No_Rain,raw_lidar\lidar_000011.npy,semantic_lidar\semantic_000011.npy,adaptive_2_5d\grid_000011.npz
12,197935,9.829,0,7.018,20.138,-1.8,0.001,-0.0,0.077,-0.0,10759,19519,7672,0,0,0,0,0,0,0.05000000074505806,0.5,NONE,-1.0,-1.0,0,STANDARD_ROAD,1,1200.0,1192.0,1208.0,-1179.86,0,Daylight_No_Rain,raw_lidar\lidar_000012.npy,semantic_lidar\semantic_000012.npy,adaptive_2_5d\grid_000012.npz
13,197937,9.929,0,9.083,20.253,-1.8,0.001,-0.0,0.099,-0.0,3645,6627,2594,0,0,0,0,0,0,0.05000000074505806,0.5,NONE,-1.0,-1.0,0,STANDARD_ROAD,1,1200.0,1192.0,1208.0,-1179.75,0,Daylight_No_Rain,raw_lidar\lidar_000013.npy,semantic_lidar\semantic_000013.npy,adaptive_2_5d\grid_000013.npz
14,197939,10.029,0,10.766,20.394,-1.8,0.001,-0.0,0.11,-0.0,10652,19519,7658,0,0,0,0,0,0,0.05000000074505806,0.5,NONE,-1.0,-1.0,0,STANDARD_ROAD,1,1200.0,1192.0,1208.0,-1179.61,0,Daylight_No_Rain,raw_lidar\lidar_000014.npy,semantic_lidar\semantic_000014.npy,adaptive_2_5d\grid_000014.npz
15,197941,10.129,0,12.23,20.556,-1.8,0.001,-0.0,0.112,-0.0,3684,6627,2623,0,0,0,0,0,0,0.05000000074505806,0.5,NONE,-1.0,-1.0,0,STANDARD_ROAD,1,1200.0,1192.0,1208.0,-1179.44,0,Daylight_No_Rain,raw_lidar\lidar_000015.npy,semantic_lidar\semantic_000015.npy,adaptive_2_5d\grid_000015.npz
16,197943,10.229,0,13.536,20.737,-1.8,0.001,-0.0,0.11,-0.0,10687,19519,7619,0,0,0,0,0,0,0.05000000074505806,0.5,NONE,-1.0,-1.0,0,STANDARD_ROAD,1,1200.0,1192.0,1208.0,-1179.26,0,Daylight_No_Rain,raw_lidar\lidar_000016.npy,semantic_lidar\semantic_000016.npy,adaptive_2_5d\grid_000016.npz
17,197945,10.329,0,14.734,20.935,-1.8,0.001,-0.0,0.106,-0.0,3660,6627,2577,0,0,0,0,0,0,0.05000000074505806,0.5,NONE,-1.0,-1.0,0,STANDARD_ROAD,1,1200.0,1192.0,1208.0,-1179.07,0,Daylight_No_Rain,raw_lidar\lidar_000017.npy,semantic_lidar\semantic_000017.npy,adaptive_2_5d\grid_000017.npz
18,197947,10.429,0,15.849,21.149,-1.8,0.001,-0.0,0.101,-0.0,10760,19519,7670,0,0,0,0,0,0,0.05000000074505806,0.5,NONE,-1.0,-1.0,0,STANDARD_ROAD,1,1200.0,1192.0,1208.0,-1178.85,0,Daylight_No_Rain,raw_lidar\lidar_000018.npy,semantic_lidar\semantic_000018.npy,adaptive_2_5d\grid_000018.npz
19,197949,10.529,0,16.898,21.377,-1.8,0.001,-0.0,0.095,-0.001,3673,6627,2601,0,0,0,0,0,0,0.05000000074505806,0.5,NONE,-1.0,-1.0,0,STANDARD_ROAD,1,1200.0,1192.0,1208.0,-1178.62,0,Daylight_No_Rain,raw_lidar\lidar_000019.npy,semantic_lidar\semantic_000019.npy,adaptive_2_5d\grid_000019.npz
20,197951,10.629,0,17.891,21.62,-1.8,0.001,-0.0,0.09,-0.001,10816,19516,7662,0,0,0,0,0,0,0.05000000074505806,0.5,NONE,-1.0,-1.0,0,STANDARD_ROAD,1,1200.0,1192.0,1208.0,-1178.38,0,Daylight_No_Rain,raw_lidar\lidar_000020.npy,semantic_lidar\semantic_000020.npy,adaptive_2_5d\grid_000020.npz
21,197953,10.729,0,18.833,21.877,-1.8,0.001,-0.0,0.084,-0.001,3609,6618,2577,0,0,0,0,0,0,0.05000000074505806,0.5,NONE,-1.0,-1.0,0,STANDARD_ROAD,1,1200.0,1192.0,1208.0,-1178.12,0,Daylight_No_Rain,raw_lidar\lidar_000021.npy,semantic_lidar\semantic_000021.npy,adaptive_2_5d\grid_000021.npz
22,197955,10.829,0,19.149,22.143,-1.8,0.002,-0.0,0.076,-0.001,10662,19525,7668,0,0,0,0,0,0,0.05000000074505806,0.5,NONE,-1.0,-1.0,0,STANDARD_ROAD,1,1200.0,1192.0,1208.0,-1177.86,0,Daylight_No_Rain,raw_lidar\lidar_000022.npy,semantic_lidar\semantic_000022.npy,adaptive_2_5d\grid_000022.npz
23,197957,10.929,0,19.426,22.411,-1.8,0.002,-0.0,0.062,-0.001,3649,6645,2593,0,0,0,0,0,0,0.05000000074505806,0.5,NONE,-1.0,-1.0,0,STANDARD_ROAD,1,1200.0,1192.0,1208.0,-1177.59,0,Daylight_No_Rain,raw_lidar\lidar_000023.npy,semantic_lidar\semantic_000023.npy,adaptive_2_5d\grid_000023.npz
24,197959,11.029,0,19.687,22.683,-1.8,0.002,-0.0,0.051,-0.001,10806,19570,7733,0,0,0,0,0,0,0.05000000074505806,0.5,NONE,-1.0,-1.0,0,STANDARD_ROAD,1,1200.0,1192.0,1208.0,-1177.32,0,Daylight_No_Rain,raw_lidar\lidar_000024.npy,semantic_lidar\semantic_000024.npy,adaptive_2_5d\grid_000024.npz
25,197961,11.129,0,20.249,22.961,-1.8,0.002,-0.0,0.046,-0.001,3674,6648,2633,0,0,0,0,0,0,0.05000000074505806,0.5,NONE,-1.0,-1.0,0,STANDARD_ROAD,1,1200.0,1192.0,1208.0,-1177.04,0,Daylight_No_Rain,raw_lidar\lidar_000025.npy,semantic_lidar\semantic_000025.npy,adaptive_2_5d\grid_000025.npz
26,197963,11.229,0,20.746,23.246,-1.8,0.002,-0.0,0.043,-0.001,10730,19563,7727,0,0,0,0,0,0,0.05000000074505806,0.5,NONE,-1.0,-1.0,0,STANDARD_ROAD,1,1200.0,1192.0,1208.0,-1176.75,0,Daylight_No_Rain,raw_lidar\lidar_000026.npy,semantic_lidar\semantic_000026.npy,adaptive_2_5d\grid_000026.npz
27,197965,11.329,0,21.465,23.54,-1.8,0.002,-0.0,0.043,-0.001,3688,6652,2626,0,0,0,0,0,0,0.05000000074505806,0.5,NONE,-1.0,-1.0,0,STANDARD_ROAD,1,1200.0,1192.0,1208.0,-1176.46,0,Daylight_No_Rain,raw_lidar\lidar_000027.npy,semantic_lidar\semantic_000027.npy,adaptive_2_5d\grid_000027.npz
